,0
0,11288.544469800014
1,11276.49226601751
2,11264.440058461943
3,11252.387849527266
4,11240.33564074299
5,11228.283435087676
6,11216.231227044038
7,11204.179017368708
8,11192.126857074512
9,11180.07465217917
10,11168.022443158712
11,11155.9702345913
12,11143.918026317722
13,11131.865818282644
14,11119.813610801306
15,11107.761403533354
16,11095.709189371453
17,11083.656981890097
18,11071.604776684362
19,11059.552567974319
20,11047.500359724163
21,11035.448151376382
22,11023.395944384662
23,10001.608662742554
24,9989.556455677317
25,9977.504244565156
26,9965.452039814041
27,9953.399832087682
28,9941.347622291534
29,9929.295413737229
30,9917.243208073065
31,9905.191000834791
32,9893.138791562447
33,9881.08658026252
34,9869.034374195377
35,9856.982164923029
36,9844.929957334014
37,9832.877796857902
38,9820.825589073964
39,9808.773381167688
40,9796.721173268259
41,9784.668964974317
42,9772.616756649935
43,9760.564550339739
44,9748.512340959714
45,9736.460133060296
46,9724.407925153984
47,9712.355717370068
48,9700.303510131773
49,9688.251301456668
50,9676.199092960018
51,9666.012473437724
52,9653.96026387154
53,9641.908055611057
54,9629.855847360905
55,9617.803641597915
56,9605.75143191374
57,9593.699223771262
58,9581.647016108018
59,9569.594809640104
60,9557.542599648972
61,9545.490392518375
62,9533.438183563296
63,9521.385975672187
64,9509.333769876124
65,9497.281608549583
66,9485.22939993081
67,9473.177191114952
68,9461.124983226196
